Name,Location,Description,Address,Telephone Number,Price,Cuisine Type,Dining Atmosphere,Sky-High Rooftop,Michelin-Guide,Customer Ratings,Operation Hours,Reservations,Dress Code
Heritage,Long Beach,A one-Michelin-star Californian tasting menu inside a converted Craftsman bungalow run by siblings Philip and Lauren Pretty using produce from their namesake urban farm.,"2030 E 7th St, Long Beach, CA 90804",(562) 343-1068,$$$,Californian,Romantic,No,1-Star,4,Wed-Sun (dinner only),Reservation Only,No
Sushi Inaba,Torrance,A one-Michelin-star intimate omakase sushi bar from Chef Yasuhiro Hirano featuring ultra-premium aged fish and exotic ingredients like mantis shrimp and Japanese oysters.,"20918 Hawthorne Blvd., Torrance, CA 90503",(310) 371-6675,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,5,Wed-Sun (dinner only),Reservation Only,No
Kali,Larchmont Village,A Michelin-starred Californian restaurant in the heart of Larchmont Village from Chefs Kevin Meehan and Drew Langley offering locally sourced seasonal tasting menus.,"5722 Melrose Ave, Los Angeles, CA 90038",(323) 871-4160,$$$,Californian,Romantic,No,1-Star,4,Tue-Sun (lunch & dinner),Yes,No
Citrin,Santa Monica,A one-Michelin-star contemporary American restaurant from Chef Josiah Citrin serving comforting gourmet classics including cult-favorite lobster bolognese under truffle foam.,"1104 Wilshire Blvd, Santa Monica, CA 90401",(310) 395-0881,$$$,Contemporary American,Fine-Dining,No,1-Star,4,Daily (lunch & dinner),Yes,No
Gucci Osteria,Beverly Hills,A one-Michelin-star Italian restaurant above Rodeo Drive created with guidance from Chef Massimo Bottura offering whimsical modern Italian cuisine with California ingredients.,"347 N Rodeo Dr, Beverly Hills, CA 90210",(310) 278-3451,$$$$,Italian,Fine-Dining,No,1-Star,3,Tue-Sun (lunch & dinner),Yes,No
Meteora,Hollywood,A one-Michelin-star global contemporary restaurant from Chef Jordan Kahn with a bird's nest entrance and Tulum-meets-primordial-ooze interiors featuring organic and foraged ingredients.,"6703 Melrose Ave, Los Angeles, CA 90038",(323) 402-4311,$$$,Global / Contemporary,Trendy,No,1-Star,4,Wed-Sun (dinner only),Reservation Only,No
Mori Nozomi,West Los Angeles,A new one-Michelin-star omakase restaurant from Chef Nozomi Mori and her all-female team offering Osaka-style sushi with elements of traditional Japanese tea ceremony.,"11500 W Pico Blvd, Los Angeles, CA 90064",(424) 273-1176,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,5,Wed-Sun (dinner only),Reservation Only,No
Nozawa Bar,Beverly Hills,A one-Michelin-star 10-seat omakase counter tucked inside Beverly Hills Sugarfish serving 20+ courses of impeccably fresh fish on warm loosely packed rice.,"212 N Canon Dr, Beverly Hills, CA 90210",(424) 216-6158,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,4,Mon-Sat (dinner only),Reservation Only,No
Pasta | Bar,Encino,A one-Michelin-star Italian-inspired multi-course tasting menu from Chef Phillip Frankland Lee featuring locally sourced Californian meat and seafood with handmade pasta centerpieces.,"16101 Ventura Blvd #255, Encino, CA 91436",(818) 208-1805,$$$,Italian,Fine-Dining,No,1-Star,3,Wed-Sun (dinner only),Reservation Only,No
Shin Sushi,Encino,A one-Michelin-star cozy omakase den from Chef Taketoshi Azumi hidden in a strip mall offering about 18 courses of seasonally aged and delicately seasoned fish.,"16573 Ventura Blvd, Encino, CA 91436",(818) 616-4148,$$$$,Japanese Omakase,Fine-Dining,No,1-Star,4,Tue-Sat (dinner only),Reservation Only,No
Uka at Japan House,Hollywood,A one-Michelin-star ultra-traditional kaiseki experience on the top floor of Ovation Hollywood featuring fish sourced weekly from Japan and a seasonally rotating menu.,"6801 Hollywood Blvd 4th Floor, Hollywood, CA 90028",(213) 808-2021,$$$$,Japanese Kaiseki,Fine-Dining,No,1-Star,4.5,Wed-Sun (dinner only),Reservation Only,No
Maccheroni Republic,Downtown Los Angeles,A Michelin Bib Gourmand Italian-American trattoria offering rustic handmade pastas and classic Italian dishes in a warm casual setting.,"332 S Broadway, Los Angeles, CA 90013",(213) 346-9725,$$,Italian-American,Casual,No,Bib-Gourmand,4.5,Daily (lunch & dinner),Yes,No
The Factory Kitchen,Downtown Los Angeles,A Michelin Bib Gourmand Italian restaurant in the Arts District known for its exceptional handmade pasta and wood-fired dishes in an industrial-chic space.,"1300 Factory Pl, Los Angeles, CA 90013",(213) 996-6000,$$,Italian,Trendy,No,Bib-Gourmand,4.6,Mon-Sat (lunch & dinner),Yes,No
Pizzeria Bianco,Downtown Los Angeles,A Michelin Bib Gourmand outpost of the legendary Phoenix pizzeria from Chris Bianco offering wood-fired artisan pizzas with exceptional house-made ingredients.,"1320 E 7th St, Suite 100, Los Angeles, CA 90021",(213) 372-5755,$$,Pizza,Casual,No,Bib-Gourmand,4.7,Wed-Sun (lunch & dinner),Yes,No
Tsubaki,Echo Park,A Michelin Bib Gourmand Japanese restaurant and bar offering a refined izakaya menu with Japanese whisky cocktails in a modern relaxed setting.,"1356 Allison Ave, Los Angeles, CA 90026",(213) 900-4900,$$,Japanese,Trendy,No,Bib-Gourmand,4.7,Tue-Sun (dinner only),Yes,No
Langer's,Westlake,A Michelin Bib Gourmand iconic LA deli institution celebrated for its hand-cut pastrami sandwiches served since 1947 near MacArthur Park.,"704 S Alvarado St, Los Angeles, CA 90057",(213) 483-8050,$$,Deli,Casual,No,Bib-Gourmand,4.8,Mon-Sat 8am-4pm,No,No
Moo's Craft Barbecue,Lincoln Heights,A Michelin Bib Gourmand Texas-style craft barbecue spot from a husband-and-wife team serving brisket smoked low and slow with scratch-made sides.,"2118 N. Broadway, Los Angeles, CA 90031",(323) 686-4133,$$,Barbecue,Casual,No,Bib-Gourmand,4.7,Thu-Sun (lunch only),No,No
Rasarumah,Los Angeles,A Michelin Bib Gourmand Malaysian restaurant newly added in 2025 offering authentic and vibrant Malaysian street food dishes in a welcoming atmosphere.,"3107 Beverly Blvd, Los Angeles, CA 90026 ",(213) 567-3547,$$$,Malaysian,Casual,No,Bib-Gourmand,4.8,Tue-Sun (lunch & dinner),Yes,No
Komal,Los Angeles,A new 2025 Michelin Bib Gourmand Mexican restaurant offering deeply flavored regional Mexican dishes with a focus on corn-based preparations and traditional techniques.,"3655 S Grand Ave Space C-9, Los Angeles, CA 90007",(213) 275-1062,$,Mexican,Casual,No,Bib-Gourmand,4.8,Wed-Sun (lunch & dinner),Yes,No
Pine & Crane,Downtown Los Angeles,The 2nd Location of the Michelin Bib Gourmand Taiwanese-inspired restaurant in DTLA offering affordable and flavorful dishes.,"1120 S Grand Ave Unit 101, Los Angeles, CA 90015",(213) 536-5292,$,Asian / Taiwanese,Casual,No,Bib-Gourmand,4.6,Daily (breakfast lunch & dinner),Yes,No
Pine & Crane,Silver Lake,A Michelin Bib Gourmand Taiwanese-inspired restaurant in Silver Lake offering affordable and flavorful dishes including scallion pancakes and braised pork rice.,"1521 Griffith Park Blvd, Los Angeles, CA 90026",(323) 668-1128,$,Asian / Taiwanese,Casual,No,Bib-Gourmand,4.6,Daily (lunch & dinner),Yes,No
71Above,Downtown Los Angeles,A breathtaking contemporary American fine dining restaurant on the 71st floor of the US Bank Tower offering sweeping panoramic views from Malibu to the mountains.,"633 W 5th St 71st Floor, Los Angeles, CA 90071",(213) 712-2683,$$$$,Contemporary American,Fine-Dining,Yes,No,4.7,Tue-Sun (dinner only),Yes,Yes
CUT by Wolfgang Puck,Beverly Hills,The most acclaimed steakhouse in the US from Wolfgang Puck set inside the Beverly Wilshire Hotel offering prime and wagyu cuts with sleek modern decor.,"9500 Wilshire Blvd, Beverly Hills, CA 90212",(310) 276-8500,$$$$,Steakhouse,Fine-Dining,No,No,5,Daily (dinner only),Yes,Yes
Osteria Mozza,Hollywood,One of LA's most prestigious Italian dining destinations from Nancy Silverton offering house-made mozzarella tableside and exceptional pastas and wood-fired dishes.,"6602 Melrose Ave, Los Angeles, CA 90038",(323) 297-0100,$$$$,Italian,Fine-Dining,No,No,4.9,Daily (lunch & dinner),Yes,No
Chi Spacca,Hollywood,The most expensive Italian restaurant in LA from the Mozza team specializing in expertly dry-aged meats and Tuscan-inspired dishes in a sophisticated rustic setting.,"6610 Melrose Ave, Los Angeles, CA 90038",(323) 297-1133,$$$$,Italian / Tuscan,Fine-Dining,No,No,5,Daily (dinner only),Yes,No
La Boucherie,Downtown Los Angeles,An elegant American steak and seafood restaurant with floor-to-ceiling panoramic LA skyline views a cheese cave and a Wine Spectator award-winning wine list.,"900 Wilshire Blvd fl 71, Los Angeles, CA 90017",(213) 688-7777,$$$$,Steakhouse,Fine-Dining,Yes,No,4.5,Tue-Sun (dinner only),Yes,Yes
Mastro's Ocean Club,Malibu,A world-class steakhouse and seafood destination known for highly acclaimed cuisine live entertainment and an elegant yet energetic atmosphere.,"18412 Pacific Coast Hwy., Malibu CA 90265",(310) 454-4357,$$$$,Steakhouse / Seafood,Fine-Dining,No,No,4.4,Daily (dinner only),Yes,Yes
Ocean Prime,Beverly Hills,A sophisticated seafood and steakhouse steps from Rodeo Drive offering chef-curated menus signature handcrafted cocktails and a Wine Spectator honored wine list.,"9595 Wilshire Blvd, Beverly Hills, CA 90212",(310) 859-4818,$$$$,Seafood / Steakhouse,Fine-Dining,No,No,4.7,Daily (lunch & dinner),Yes,Yes
Bestia,Downtown Arts District,An iconic LA Italian restaurant from Chef Ori Menashe in an industrial-chic Arts District space offering award-winning house-cured meats pastas and wood-roasted dishes.,"2121 E 7th Pl, Los Angeles, CA 90021",(213) 514-5724,$$$$,Italian,Trendy,No,No,4.8,Daily (dinner only),Yes,No
Capo,Santa Monica,An elegant candlelit Italian restaurant in Santa Monica offering chef-driven modernist cuisine warm hospitality and prime Flannery steaks in a cozy luxurious atmosphere.,"1810 Ocean Ave, Santa Monica, CA 90401",(310) 394-5550,$$$$,Italian / Modernist,Romantic,No,No,5,Tue-Sun (dinner only),Yes,No
Niku X,Downtown Los Angeles,A high-end Japanese steakhouse experience offering premium A5 Wagyu and a theatrical multi-course dining journey in an intimate upscale setting.,"900 Wilshire Blvd Ste 212, Los Angeles, CA 90017",(323) 920-0302,$$$$$,Japanese / Steakhouse,Fine-Dining,No,No,5,Wed-Sun (dinner only),Reservation Only,Yes
Red Fish Restaurant,West Hollywood,A sophisticated West Hollywood restaurant combining premium steaks with exquisite sushi and handcrafted cocktails in an inviting atmosphere with a covered patio.,"8452 Melrose Ave, West Hollywood, CA 90069",(310) 295-9109,$$$$,Steakhouse / Sushi,Trendy,No,No,4.8,Daily (dinner only),Yes,No
Maison Kasai at Level 8,Downtown Los Angeles,A 10-seat teppanyaki counter blending French sophistication with Japanese precision featuring A5 Wagyu and lobster with Normandy butter in a theatrical adults-only setting.,"1254 S Figueroa St 8th Floor, Los Angeles, CA 90015",(213) 789-7852,$$$$,Teppanyaki,Fine-Dining,No,No,4.3,Wed-Sun (dinner only),Reservation Only,No
San Laurel,Downtown Los Angeles,A contemporary Spanish restaurant located inside the Conrad Los Angeles hotel offering refined Spanish-California cuisine in a stylish Michelin Key hotel setting.,"100 S Grand Ave, Los Angeles, CA 90012",(213) 349-8585,$$$$,Spanish,Fine-Dining,No,No,4.5,Daily (breakfast lunch & dinner),Yes,No
H&H Brazilian Steakhouse,Downtown Los Angeles,The number one Brazilian steakhouse in Los Angeles offering the highest grade Halal beef lamb and chicken with A5 Wagyu available in a vibrant churrascaria-style setting.,"518 W. 7th St., Los Angeles, CA 90014 ",(213) 266-8103,$$$$,Brazilian Steakhouse,Fine-Dining,No,No,4.3,Daily (lunch & dinner),Yes,No
The Biltmore Los Angeles,Downtown Los Angeles,A historic luxury American dining experience inside the iconic Biltmore Hotel featuring opulent nostalgic decor carved granite bar and gallery-style ambiance.,"506 S Grand Ave, Los Angeles, CA 90071",(213) 624-1011,$$$$,American,Fine-Dining,No,No,4.4,Daily (breakfast lunch & dinner),Yes,No
Badmaash,Hollywood,A Michelin Selected modern Indian restaurant blending bold subcontinental flavors with California ingredients in a casual yet refined setting.,"418 N Fairfax Ave, Los Angeles, CA 90036",(213) 281-5185,$$,Indian,Casual,No,Michelin-Selected,4.3,Tue-Sun (lunch & dinner),Yes,No
Badmaash,Downtown Los Angeles,The 2nd Location of the Michelin Selected modern Indian restaurant blending bold subcontinental flavors with California ingredients in a casual yet refined setting.,"108 W 2nd St Apt 104, Los Angeles, CA 90012",(213) 221-7466,$$,Indian,Casual,No,Michelin-Selected,3.9,Mon-Fri 11:30am-10pm / Sat-Sun 12pm-10pm,Yes,No
Redbird,Downtown Los Angeles,A Michelin Selected contemporary American restaurant inside a stunning 1920s cathedral rectory offering seasonal California-inspired cuisine in a dramatic historic setting.,"114 E 2nd St, Los Angeles, CA 90012",(213) 788-1191,$$$,Contemporary,Fine-Dining,No,Michelin-Selected,4.5,Daily (dinner only),Yes,No
Sushi Takeda,Little Tokyo,A Michelin Selected traditional Japanese sushi restaurant offering an intimate omakase experience with exceptional seasonal fish and skilled traditional technique.,"123 Astronaut Ellison S Onizuka St ste 307 3rd floor, Los Angeles, CA 90012",(213) 613-0083,$$$$,Japanese,Fine-Dining,No,Michelin-Selected,4.6,Tue-Sat (dinner only),Reservation Only,No
Baroo,Downtown Los Angeles,A Michelin Selected Korean contemporary restaurant offering fermentation-driven dishes that blur the line between Korean tradition and California innovation.,"905 E 2nd St #109, Los Angeles, CA 90012",(213) 221-7967,$$$$,Korean Contemporary,Trendy,No,Michelin-Selected,4.5,Wed-Sat (dinner only),Reservation Only,No
Damian,Downtown Los Angeles,A Michelin Selected upscale Mexican restaurant from Chef Enrique Olvera offering refined contemporary Mexican cuisine in a sleek and minimalist Arts District setting.,"2132 E 7th Pl, Los Angeles, CA 90021",(213) 270-0178,$$$,Mexican,Fine-Dining,No,Michelin-Selected,4.6,Tue-Sun (dinner only),Yes,No
Majordomo,Chinatown,A Michelin Selected Asian-influenced restaurant from Chef David Chang offering bold shareable plates and wood-fired meats in a lively industrial Chinatown space.,"1725 Naud St, Los Angeles, CA 90012",(323) 545-4880,$$$,Asian,Trendy,No,Michelin-Selected,4.2,Daily (dinner only),Yes,No
Girl & the Goat Los Angeles,Downtown Los Angeles,A Michelin Selected contemporary American restaurant from James Beard Award winner Stephanie Izard offering bold globally-inspired small plates in a vibrant communal setting.,"555-3 Mateo St, Los Angeles, CA 90013",(213) 799-4628,$$$,Contemporary,Trendy,No,Michelin-Selected,4.4,Daily (dinner only),Yes,No
Parks BBQ,Koreatown,A Michelin Selected premier Korean barbecue institution in Koreatown celebrated for its premium USDA prime beef and exceptional tableside grilling experience.,"955 S Vermont Ave Suite G, Los Angeles, CA 90006",(213) 380-1717,$$$,Korean,Casual,No,Michelin-Selected,4.5,Daily (lunch & dinner),Yes,No
Quarters BBQ,Koreatown,A Michelin Selected Korean barbecue restaurant offering high-quality cuts and a lively grilling experience in the heart of Koreatown.,"3465 W 6th St, Los Angeles, CA 90020",(213) 468-0065,$$$,Korean,Casual,No,Michelin-Selected,4.3,Daily (lunch & dinner),Yes,No
Fleming's Steakhouse,Downtown Los Angeles,An upscale steakhouse across from Crypto.com Arena offering seven different prime steak cuts handcrafted cocktails and innovative plant-based options.,"800 W Olympic Blvd, Los Angeles, CA 90015",(213) 745-9911,$$$$,Steakhouse,Fine-Dining,No,No,4.6,Daily (dinner only),Yes,Yes
Aperture at City Club LA,Downtown Los Angeles,A contemporary American restaurant on the 51st floor of City National Plaza offering breathtaking Hollywood Hills and LA skyline views with locally-sourced globally-inspired dishes.,"555 S Flower St 51st Floor, Los Angeles, CA 90071",(213) 620-9662,$$$$,Contemporary American,Fine-Dining,Yes,No,4.2,Mon-Fri (lunch & dinner),Yes,Yes
Steak 48,Beverly Hills,"Steak 48, Founded by the Mastro brothers, is an upscale, contemporary fine-dining steakhouse known for USDA Prime steaks, fresh seafood, and a vibrant atmosphere.","9680 Wilshire Blvd Beverly Hills, CA 90212",(310) 388-0048,$$$$,Steakhouse,Fine-Dining,No,No,4.6,Mon-Fri 5pm-9:45 / Sat-Sun 4pm-9:45pm,Yes,Strict
The Arthur J,Manhattan Beach,"The Arthur J is a high-end, mid-century modern steakhouse in Manhattan Beach, CA. it offers a refined yet lively atmosphere featuring a custom wood-fired grill for wet & dry-aged steaks.","903 Manhattan Ave. Manhattan Beach, CA 90266",(310) 878-9620,$$$$,Steakhouse,Fine-Dining,No,No,4.6,Mon-Wed 4pm-9:45pm / Thurs-Sat 4pm-10:45pm / Sun 10am-9:45pm,No,No
The Belvedere,Beverly Hills,"Located in The Peninsula Beverly Hills Hotel, is a refined, AAA 5-Diamond & Forbes 4-star restaurant offering French-Californian cuisine, focusing on local & sustainable seafood and produce.","9882 S Santa Monica Blvd Ground Floor, Beverly Hills, CA 90212",(310) 975-2736,$$$$$,Mediterranean / French-Californian,Smart-Casual,No,No,4.5,Daily (breakfast lunch & dinner),Yes,No
Elephante,Santa Monica,"A premier rooftop restaurant & lounge with stunning, direct Pacific Ocean views. This trendy, upscale spot offers a chic, bohemian aesthetic designed to feel like a beach getaway. ","1332 2nd St Rooftop, Santa Monica, CA 90401",(424) 722-8647,$$$$,Italian,Trendy,Yes,Michelin-Selected,4.6,Mon-Thurs 10am-12am / Fri-Sun 9am-1am,Yes,No
Nobu Malibu,Malibu,"Nobu Malibu is a premier, upscale oceanfront restaurant in Malibu, California, renowned for its Japanese-Peruvian fusion cuisine and stunning, panoramic views of the Pacific Ocean.","22706 Pacific Coast Hwy, Malibu, CA 90265",(310) 317-9140,$$$$$,Japanese / Peruvian,Romantic / Smart-Casual,No,No,4.3,Sun-Thurs 12pm-10pm / Fri-Sat 12pm-11pm,Yes,No
Nobu Los Angeles,West Hollywood,"Nobu Los Angeles, located in West Hollywood on La Cienega Boulevard, is a high-end, stylish, and intimate restaurant also known for its Japanese-Peruvian fusion cuisine.","903 N La Cienega Blvd, Los Angeles, CA 90069",(310) 657-5711,$$$$$,Japanese / Peruvian,Trendy / Smart-Casual,No,No,4.3,Sun-Thurs 5:30pm-10pm / Fri-Sat 5:30pm-11pm,Yes,No
Yamashiro,Hollywood Hills,Yamashiro sits atop The Hollywood Hills with break-taking panoramic views of Los Angeles. The dining experience boasts Asian-inspired dishes & cocktails,"1999 N Sycamore Ave, Los Angeles, CA 90068",(323) 466-5125,$$$$,Japanese / Sushi,Romantic / Smart-Casual,Yes,No,4.3,Mon-Sat 5pm-11pm / Sun 11am-11pm,Yes,Yes
LouLou,Santa Monica,"From the exquisite open air outdoor patio, to Pacific Ocean views, LouLou offers an quintessential French & Californian dining experience served in a cosmopolitan venue with ocean & sunset views.","395 Santa Monica Pl #300, Santa Monica, CA 90401",(323) 410-2337,$$$$,French / Mediterranean,Casual,Yes,No,4.3,Mon-Wed 11:30am-11pm / Thurs-Sat 11:30am-12am / Sun 11:30am-10pm,Yes,No
